"numero","estado","numero_cuenta","comprobante_nro","Monto Total","Tasa administrativa","Tasa infraccion","medio_pago","tipo","juzgado","created_at","fecha_pago","fecha_acreditacion"
F-1123173       ,Cancelada,CAUSAF00000001367329,3.587.382,209.752,12.649,197.103,MERCADOPAGO,FOTOMULTA,Juzgado 4,2024-07-01 20:03:38,2026-01-05 21:00:00,2026-01-06 21:00:00
F-1123211       ,Cancelada,CAUSAF00000001367435,3.652.616,209.752,9352,200.400,BAPRO,FOTOMULTA,Juzgado 4,2024-07-01 20:04:08,2026-04-21 21:00:00,2026-04-27 21:00:00
F-1123239       ,Cancelada,CAUSAF00000001367541,3.625.157,57.824,12.649,45.175,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-07-01 20:04:38,2026-02-05 21:00:00,2026-02-05 21:00:00
F-1123270       ,Cancelada,CAUSAF00000001367572,3.596.065,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-07-01 20:04:49,2026-01-18 21:00:00,2026-01-18 21:00:00
F-1123277       ,Cancelada,CAUSAF00000001367579,3.599.243,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-07-01 20:04:51,2026-01-21 21:00:00,2026-01-21 21:00:00
F-1123376       ,Cancelada,CAUSAF00000001368134,55.874.583,525.277,12.649,512.628,SUGIT,FOTOMULTA,Juzgado 2,2024-07-02 20:03:52,2026-01-07 21:00:00,2026-02-08 21:00:00
F-1123385       ,Cancelada,CAUSAF00000001368151,3.638.897,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 5,2024-07-02 20:04:04,2026-02-22 21:00:00,2026-02-22 21:00:00
F-1123437       ,Cancelada,CAUSAF00000001368352,3.588.701,209.752,9352,200.400,BAPRO,FOTOMULTA,Juzgado 5,2024-07-02 20:06:14,2026-01-23 21:00:00,2026-01-28 21:00:00
F-1123531       ,Cancelada,CAUSAF00000001369189,3.748.348,297.672,13.272,284.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 5,2024-07-02 20:14:29,2026-04-22 21:00:00,2026-04-22 21:00:00
F-1123574       ,Cancelada,CAUSAF00000001369501,3.746.026,209.752,13.272,196.480,MERCADOPAGO,FOTOMULTA,Juzgado 2,2024-07-03 20:02:39,2026-04-20 21:00:00,2026-04-21 21:00:00
F-1123590       ,Cancelada,CAUSAF00000001369524,3.664.391,297.672,13.272,284.400,MERCADOPAGO,FOTOMULTA,Juzgado 5,2024-07-03 20:02:54,2026-03-18 21:00:00,2026-03-19 21:00:00
F-1123651       ,Cancelada,CAUSAF00000001370021,56.072.633,554.749,13.272,541.477,SUGIT,FOTOMULTA,Juzgado 3,2024-07-03 20:08:28,2026-03-08 21:00:00,2026-04-13 21:00:00
F-1123918       ,Cancelada,CAUSAF00000001370969,3.597.746,209.752,9352,200.400,RAPIPAGO,FOTOMULTA,Juzgado 2,2024-07-04 20:04:36,2026-01-20 21:00:00,2026-01-27 21:00:00
F-1124132       ,Cancelada,CAUSAF00000001371335,3.723.758,480.872,13.272,467.600,RAPIPAGO,FOTOMULTA,Juzgado 3,2024-07-04 20:08:30,2026-04-19 21:00:00,2026-04-26 21:00:00
F-1124181       ,Cancelada,CAUSAF00000001371427,3.745.939,439.872,13.272,426.600,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 3,2024-07-04 20:09:24,2026-04-20 21:00:00,2026-04-20 21:00:00
F-1124184       ,Cancelada,CAUSAF00000001371431,3.630.545,243.152,9352,233.800,BAPRO,FOTOMULTA,Juzgado 2,2024-07-04 20:09:28,2026-02-10 21:00:00,2026-02-22 21:00:00
F-1124216       ,Cancelada,CAUSAF00000001371540,3.585.763,268.627,12.649,255.978,MERCADOPAGO,FOTOMULTA,Juzgado 5,2024-07-04 20:10:33,2026-01-02 21:00:00,2026-01-04 21:00:00
F-1124228       ,Cancelada,CAUSAF00000001371565,3.639.822,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 1,2024-07-04 20:10:48,2026-03-04 21:00:00,2026-03-04 21:00:00
F-1124237       ,Cancelada,CAUSAF00000001371580,3.620.308,209.752,12.649,197.103,MERCADOPAGO,FOTOMULTA,Juzgado 5,2024-07-04 20:10:57,2026-02-01 21:00:00,2026-02-02 21:00:00
F-1124237       ,Cancelada,CAUSAF00000001371580,3.620.309,209.752,12.649,197.103,MERCADOPAGO,FOTOMULTA,Juzgado 5,2024-07-04 20:10:57,2026-02-01 21:00:00,2026-02-02 21:00:00
F-1124244       ,Cancelada,CAUSAF00000001371592,3.586.397,209.752,12.649,197.103,MERCADOPAGO,FOTOMULTA,Juzgado 2,2024-07-04 20:11:04,2026-01-04 21:00:00,2026-01-06 21:00:00
F-1124259       ,Cancelada,CAUSAF00000001371621,3.730.965,243.152,9352,233.800,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-07-04 20:11:22,2026-04-05 21:00:00,2026-04-05 21:00:00
F-1124405       ,Cancelada,CAUSAF00000001372059,3.749.270,209.752,9352,200.400,BAPRO,FOTOMULTA,Juzgado 1,2024-07-05 20:04:43,2026-04-22 21:00:00,2026-04-28 21:00:00
F-1124432       ,Cancelada,CAUSAF00000001372108,3.639.808,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 1,2024-07-05 20:05:13,2026-02-23 21:00:00,2026-02-23 21:00:00
F-1124480       ,Cancelada,CAUSAF00000001372263,3.736.978,209.752,13.272,196.480,MERCADOPAGO,FOTOMULTA,Juzgado 5,2024-07-05 20:06:50,2026-04-14 21:00:00,2026-04-15 21:00:00
F-1124526       ,Cancelada,CAUSAF00000001372410,3.598.659,209.752,12.649,197.103,MERCADOPAGO,FOTOMULTA,Juzgado 3,2024-07-05 20:08:04,2026-01-20 21:00:00,2026-01-21 21:00:00
F-1124585       ,Cancelada,CAUSAF00000001372558,3.585.896,209.752,12.649,197.103,MERCADOPAGO,FOTOMULTA,Juzgado 4,2024-07-06 20:02:25,2026-01-03 21:00:00,2026-01-04 21:00:00
F-1124615       ,Cancelada,CAUSAF00000001372601,3.657.501,18.925.872,13.272,18.912.600,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-07-06 20:03:08,2026-03-11 21:00:00,2026-03-11 21:00:00
F-1124691       ,Cancelada,CAUSAF00000001372812,3.622.094,283.699,12.649,271.050,MERCADOPAGO,FOTOMULTA,Juzgado 3,2024-07-08 20:01:32,2026-02-02 21:00:00,2026-02-03 21:00:00
F-1124694       ,Cancelada,CAUSAF00000001372815,3.590.222,209.752,12.649,197.103,MERCADOPAGO,FOTOMULTA,Juzgado 1,2024-07-08 20:01:34,2026-01-09 21:00:00,2026-01-11 21:00:00
F-1124700       ,Cancelada,CAUSAF00000001372821,3.731.516,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-07-08 20:01:38,2026-04-06 21:00:00,2026-04-06 21:00:00
F-1124747       ,Cancelada,CAUSAF00000001372949,3.663.231,283.699,13.272,270.427,MERCADOPAGO,FOTOMULTA,Juzgado 5,2024-07-08 20:03:12,2026-03-17 21:00:00,2026-03-18 21:00:00
F-1124783       ,Cancelada,CAUSAF00000001373038,3.749.225,209.752,9352,200.400,BAPRO,FOTOMULTA,Juzgado 5,2024-07-08 20:04:11,2026-04-22 21:00:00,2026-04-28 21:00:00
F-1124816       ,Cancelada,CAUSAF00000001373115,3.751.669,209.752,13.272,196.480,MERCADOPAGO,FOTOMULTA,Juzgado 4,2024-07-08 20:04:56,2026-04-26 21:00:00,2026-04-27 21:00:00
F-1124868       ,Cancelada,CAUSAF00000001373214,3.623.873,283.699,12.649,271.050,MERCADOPAGO,FOTOMULTA,Juzgado 1,2024-07-08 20:05:54,2026-02-03 21:00:00,2026-02-04 21:00:00
F-1124974       ,Cancelada,CAUSAF00000001373376,3.732.932,297.672,13.272,284.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 1,2024-07-08 20:07:28,2026-04-07 21:00:00,2026-04-07 21:00:00
F-1125020       ,Cancelada,CAUSAF00000001373429,3.675.642,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 1,2024-07-08 20:07:59,2026-03-26 21:00:00,2026-03-26 21:00:00
F-1125080       ,Cancelada,CAUSAF00000001373591,3.621.859,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-07-09 20:01:37,2026-02-02 21:00:00,2026-02-02 21:00:00
F-1125102       ,Cancelada,CAUSAF00000001373655,3.621.992,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-07-09 20:02:21,2026-04-15 21:00:00,2026-04-15 21:00:00
F-1125177       ,Cancelada,CAUSAF00000001373953,55.977.254,283.699,12.649,271.050,SUGIT,FOTOMULTA,Juzgado 3,2024-07-11 20:01:47,2026-01-29 21:00:00,2026-02-08 21:00:00
F-1125194       ,Cancelada,CAUSAF00000001373986,3.551.053,268.627,11.977,256.650,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-07-11 20:01:57,2026-01-04 21:00:00,2026-01-04 21:00:00
F-1125286       ,Cancelada,CAUSAF00000001374540,3.619.046,280.402,9352,271.050,PAGO FÁCIL,FOTOMULTA,Juzgado 2,2024-07-15 20:01:11,2026-01-29 21:00:00,2026-02-04 21:00:00
F-1125369       ,Cancelada,CAUSAF00000001375206,3.592.430,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-07-16 20:01:24,2026-01-13 21:00:00,2026-01-13 21:00:00
F-1125382       ,Cancelada,CAUSAF00000001375230,3.623.413,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-07-16 20:02:00,2026-02-19 21:00:00,2026-02-19 21:00:00
F-1125388       ,Cancelada,CAUSAF00000001375263,3.589.165,268.627,11.977,256.650,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 5,2024-07-16 20:02:28,2026-01-08 21:00:00,2026-01-08 21:00:00
F-1125549       ,Cancelada,CAUSAF00000001375971,3.623.607,57.824,12.649,45.175,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 5,2024-07-17 20:03:34,2026-02-03 21:00:00,2026-02-03 21:00:00
F-1125583       ,Cancelada,CAUSAF00000001376295,55.925.155,554.749,12.649,542.100,SUGIT,FOTOMULTA,Juzgado 5,2024-07-17 20:05:51,2026-01-19 21:00:00,2026-02-08 21:00:00
F-1125599       ,Cancelada,CAUSAF00000001376311,3.737.582,410.152,13.272,396.880,MERCADOPAGO,FOTOMULTA,Juzgado 4,2024-07-17 20:05:55,2026-04-15 21:00:00,2026-04-16 21:00:00
F-1125663       ,Cancelada,CAUSAF00000001376561,56.041.997,410.152,13.272,396.880,SUGIT,FOTOMULTA,Juzgado 1,2024-07-18 20:03:16,2026-02-23 21:00:00,2026-03-12 21:00:00
F-1125735       ,Cancelada,CAUSAF00000001376834,3.735.711,297.672,13.272,284.400,MERCADOPAGO,FOTOMULTA,Juzgado 4,2024-07-18 20:05:46,2026-04-13 21:00:00,2026-04-14 21:00:00
F-1125754       ,Cancelada,CAUSAF00000001376853,3.765.337,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-07-18 20:05:51,2026-05-05 21:00:00,2026-05-05 21:00:00
F-1125760       ,Cancelada,CAUSAF00000001376859,3.751.569,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-07-18 20:05:53,2026-04-26 21:00:00,2026-04-26 21:00:00
F-1125773       ,Cancelada,CAUSAF00000001376872,55.846.514,268.627,12.649,255.978,SUGIT,FOTOMULTA,Juzgado 5,2024-07-18 20:05:56,2026-01-01 21:00:00,2026-02-08 21:00:00
F-1125858       ,Cancelada,CAUSAF00000001377302,3.665.378,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-07-19 20:05:36,2026-03-24 21:00:00,2026-03-24 21:00:00
F-1125868       ,Cancelada,CAUSAF00000001377369,56.098.439,582.072,13.272,568.800,SUGIT,FOTOMULTA,Juzgado 2,2024-07-19 20:05:57,2026-03-18 21:00:00,2026-04-13 21:00:00
F-1125886       ,Cancelada,CAUSAF00000001377387,3.642.886,283.699,12.649,271.050,MERCADOPAGO,FOTOMULTA,Juzgado 4,2024-07-19 20:06:01,2026-02-25 21:00:00,2026-02-26 21:00:00
F-1125894       ,Cancelada,CAUSAF00000001377405,3.652.648,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 3,2024-07-19 20:06:08,2026-03-09 21:00:00,2026-03-09 21:00:00
F-1125902       ,Cancelada,CAUSAF00000001377414,3.675.473,209.752,13.272,196.480,MERCADOPAGO,FOTOMULTA,Juzgado 3,2024-07-19 20:06:11,2026-03-26 21:00:00,2026-03-29 21:00:00
F-1125903       ,Cancelada,CAUSAF00000001377415,3.590.722,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 3,2024-07-19 20:06:12,2026-01-11 21:00:00,2026-01-11 21:00:00
F-1126027       ,Cancelada,CAUSAF00000001377775,3.594.132,554.749,12.649,542.100,MERCADOPAGO,FOTOMULTA,Juzgado 2,2024-07-22 20:01:21,2026-01-14 21:00:00,2026-01-15 21:00:00
F-1126033       ,Cancelada,CAUSAF00000001377783,3.767.226,209.752,15.505,194.247,MERCADOPAGO,FOTOMULTA,Juzgado 3,2024-07-22 20:01:24,2026-05-06 21:00:00,2026-05-07 21:00:00
F-1126101       ,Cancelada,CAUSAF00000001378204,3.752.433,209.752,13.272,196.480,MERCADOPAGO,FOTOMULTA,Juzgado 3,2024-07-22 20:05:07,2026-04-27 21:00:00,2026-04-28 21:00:00
F-1126307       ,Cancelada,CAUSAF00000001379107,3.747.281,42.752,13.272,29.480,MERCADOPAGO,FOTOMULTA,Juzgado 2,2024-07-23 20:04:35,2026-04-21 21:00:00,2026-04-22 21:00:00
F-1126332       ,Cancelada,CAUSAF00000001379237,3.621.105,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 1,2024-07-23 20:05:13,2026-02-01 21:00:00,2026-02-01 21:00:00
F-1126334       ,Cancelada,CAUSAF00000001379239,3.623.394,48.192,10.542,37.650,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-07-23 20:05:14,2026-02-03 21:00:00,2026-02-03 21:00:00
F-1126474       ,Cancelada,CAUSAF00000001379963,3.598.991,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 5,2024-07-24 20:04:17,2026-01-21 21:00:00,2026-01-21 21:00:00
F-1126505       ,Cancelada,CAUSAF00000001380155,3.766.472,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-07-24 20:06:11,2026-05-06 21:00:00,2026-05-06 21:00:00
F-1126515       ,Cancelada,CAUSAF00000001380165,3.593.776,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-07-24 20:06:17,2026-01-14 21:00:00,2026-01-14 21:00:00
F-1126557       ,Cancelada,CAUSAF00000001380263,3.666.413,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-07-24 20:07:03,2026-03-25 21:00:00,2026-03-25 21:00:00
F-1126559       ,Cancelada,CAUSAF00000001380265,3.626.342,209.752,12.649,197.103,MERCADOPAGO,FOTOMULTA,Juzgado 3,2024-07-24 20:07:06,2026-02-07 21:00:00,2026-02-08 21:00:00
F-1126616       ,Cancelada,CAUSAF00000001380445,3.597.997,419.224,12.649,406.575,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 1,2024-07-24 20:08:22,2026-01-20 21:00:00,2026-01-20 21:00:00
F-1126618       ,Cancelada,CAUSAF00000001380459,3.769.609,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-07-24 20:08:26,2026-05-10 21:00:00,2026-05-10 21:00:00
F-1126724       ,Cancelada,CAUSAF00000001380774,3.643.410,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-07-25 20:11:24,2026-02-26 21:00:00,2026-02-26 21:00:00
F-1126725       ,Cancelada,CAUSAF00000001380777,3.766.752,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 5,2024-07-25 20:11:25,2026-05-05 21:00:00,2026-05-05 21:00:00
F-1126806       ,Cancelada,CAUSAF00000001381010,3.643.933,209.752,13.272,196.480,MERCADOPAGO,FOTOMULTA,Juzgado 5,2024-07-25 20:13:14,2026-02-26 21:00:00,2026-03-01 21:00:00
F-1126841       ,Cancelada,CAUSAF00000001381175,3.623.415,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-07-25 20:14:31,2026-02-19 21:00:00,2026-02-19 21:00:00
F-1126844       ,Cancelada,CAUSAF00000001381184,3.587.118,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 5,2024-07-25 20:14:36,2026-01-05 21:00:00,2026-01-05 21:00:00
F-1126918       ,Cancelada,CAUSAF00000001381286,3.729.378,629.472,13.272,616.200,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 1,2024-07-25 20:15:21,2026-03-31 21:00:00,2026-03-31 21:00:00
F-1127103       ,Cancelada,CAUSAF00000001381960,3.635.327,916.149,12.649,903.500,BAPRO,FOTOMULTA,Juzgado 1,2024-07-26 20:03:22,2026-02-19 21:00:00,2026-02-25 21:00:00
F-1127188       ,Cancelada,CAUSAF00000001382124,3.731.978,209.752,9352,200.400,BAPRO,FOTOMULTA,Juzgado 3,2024-07-26 20:04:17,2026-04-21 21:00:00,2026-04-27 21:00:00
F-1127203       ,Cancelada,CAUSAF00000001382142,3.597.856,209.752,9352,200.400,BAPRO,FOTOMULTA,Juzgado 4,2024-07-26 20:04:21,2026-01-20 21:00:00,2026-01-26 21:00:00
F-1127365       ,Cancelada,CAUSAF00000001382764,3.738.730,209.752,13.272,196.480,MERCADOPAGO,FOTOMULTA,Juzgado 2,2024-07-29 20:02:40,2026-04-16 21:00:00,2026-04-19 21:00:00
F-1127366       ,Cancelada,CAUSAF00000001382766,3.761.677,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 3,2024-07-29 20:02:41,2026-05-03 21:00:00,2026-05-03 21:00:00
F-1127380       ,Cancelada,CAUSAF00000001382824,3.729.718,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 1,2024-07-29 20:03:02,2026-03-31 21:00:00,2026-03-31 21:00:00
F-1127558       ,Cancelada,CAUSAF00000001383310,3.731.002,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 1,2024-07-29 20:08:19,2026-04-05 21:00:00,2026-04-05 21:00:00
F-1127606       ,Cancelada,CAUSAF00000001383525,3.590.154,209.752,12.649,197.103,MERCADOPAGO,FOTOMULTA,Juzgado 2,2024-07-30 20:01:36,2026-01-09 21:00:00,2026-01-11 21:00:00
F-1127623       ,Cancelada,CAUSAF00000001383542,3.735.906,367.272,13.272,354.000,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-07-30 20:01:42,2026-04-13 21:00:00,2026-04-13 21:00:00
F-1127661       ,Cancelada,CAUSAF00000001383595,3.662.746,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 5,2024-07-30 20:01:59,2026-03-17 21:00:00,2026-03-17 21:00:00
F-1127692       ,Cancelada,CAUSAF00000001383640,3.664.522,209.752,9352,200.400,BAPRO,FOTOMULTA,Juzgado 3,2024-07-30 20:02:18,2026-03-18 21:00:00,2026-03-26 21:00:00
F-1127731       ,Cancelada,CAUSAF00000001383694,3.737.907,297.672,13.272,284.400,RAPIPAGO,FOTOMULTA,Juzgado 3,2024-07-30 20:02:38,2026-04-16 21:00:00,2026-04-23 21:00:00
F-1127742       ,Cancelada,CAUSAF00000001383713,3.650.440,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 3,2024-07-30 20:02:45,2026-03-05 21:00:00,2026-03-05 21:00:00
F-1127752       ,Cancelada,CAUSAF00000001383737,3.616.363,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 5,2024-07-30 20:02:54,2026-01-27 21:00:00,2026-01-27 21:00:00
F-1127882       ,Cancelada,CAUSAF00000001384262,3.649.767,283.699,13.272,270.427,MERCADOPAGO,FOTOMULTA,Juzgado 3,2024-07-31 20:01:26,2026-03-04 21:00:00,2026-03-05 21:00:00
F-1127913       ,Cancelada,CAUSAF00000001384329,3.662.632,209.752,9352,200.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-07-31 20:01:48,2026-03-17 21:00:00,2026-03-17 21:00:00
F-1128111       ,Cancelada,CAUSAF00000001385152,3.623.422,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-07-31 20:07:31,2026-02-19 21:00:00,2026-02-19 21:00:00
F-1128241       ,Cancelada,CAUSAF00000001385495,3.651.610,193.110,8610,184.500,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-08-01 20:01:37,2026-03-08 21:00:00,2026-03-08 21:00:00
F-1128350       ,Cancelada,CAUSAF00000001385771,3.762.321,193.110,8610,184.500,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-08-01 20:03:17,2026-05-03 21:00:00,2026-05-03 21:00:00
F-1128360       ,Cancelada,CAUSAF00000001385802,3.631.365,39.360,8610,30.750,BAPRO,FOTOMULTA,Juzgado 4,2024-08-01 20:03:27,2026-02-11 21:00:00,2026-02-23 21:00:00
F-1128447       ,Cancelada,CAUSAF00000001386108,3.732.447,39.360,8610,30.750,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 1,2024-08-02 20:01:31,2026-04-07 21:00:00,2026-04-07 21:00:00
F-1128461       ,Cancelada,CAUSAF00000001386251,3.660.791,39.360,13.272,26.088,MERCADOPAGO,FOTOMULTA,Juzgado 1,2024-08-02 20:02:16,2026-03-15 21:00:00,2026-03-16 21:00:00
F-1128467       ,Cancelada,CAUSAF00000001386257,3.623.908,193.110,8610,184.500,RAPIPAGO,FOTOMULTA,Juzgado 5,2024-08-02 20:02:18,2026-03-30 21:00:00,2026-04-08 21:00:00
F-1128526       ,Cancelada,CAUSAF00000001386343,3.729.342,193.110,8610,184.500,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 3,2024-08-02 20:03:13,2026-03-31 21:00:00,2026-03-31 21:00:00
F-1128618       ,Cancelada,CAUSAF00000001386575,3.723.833,297.672,13.272,284.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-08-02 20:05:13,2026-03-29 21:00:00,2026-03-29 21:00:00
F-1128648       ,Cancelada,CAUSAF00000001386824,3.664.521,193.110,8610,184.500,BAPRO,FOTOMULTA,Juzgado 3,2024-08-02 20:09:32,2026-03-18 21:00:00,2026-03-26 21:00:00
F-1128682       ,Cancelada,CAUSAF00000001386963,3.589.477,268.627,11.977,256.650,RAPIPAGO,FOTOMULTA,Juzgado 3,2024-08-03 20:01:08,2026-01-11 21:00:00,2026-01-18 21:00:00
F-1128690       ,Cancelada,CAUSAF00000001386971,3.754.172,297.672,13.272,284.400,MERCADOPAGO,FOTOMULTA,Juzgado 5,2024-08-03 20:01:11,2026-04-28 21:00:00,2026-04-29 21:00:00
F-1128715       ,Cancelada,CAUSAF00000001386996,3.734.390,193.110,8610,184.500,BAPRO,FOTOMULTA,Juzgado 5,2024-08-03 20:01:18,2026-04-09 21:00:00,2026-04-15 21:00:00
F-1128782       ,Cancelada,CAUSAF00000001387124,3.649.329,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-08-03 20:02:03,2026-03-04 21:00:00,2026-03-04 21:00:00
F-1128812       ,Cancelada,CAUSAF00000001387193,55.914.536,554.749,12.649,542.100,SUGIT,FOTOMULTA,Juzgado 2,2024-08-03 20:03:17,2026-01-15 21:00:00,2026-02-08 21:00:00
F-1128877       ,Cancelada,CAUSAF00000001387412,3.732.008,297.672,13.272,284.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-08-04 20:02:04,2026-04-06 21:00:00,2026-04-06 21:00:00
F-1128881       ,Cancelada,CAUSAF00000001387419,3.768.281,193.110,15.505,177.605,MERCADOPAGO,FOTOMULTA,Juzgado 3,2024-08-04 20:02:06,2026-05-07 21:00:00,2026-05-10 21:00:00
F-1128908       ,Cancelada,CAUSAF00000001387540,3.747.258,297.672,13.272,284.400,MERCADOPAGO,FOTOMULTA,Juzgado 2,2024-08-05 20:01:11,2026-04-21 21:00:00,2026-04-22 21:00:00
F-1128941       ,Cancelada,CAUSAF00000001387595,3.748.264,193.110,8610,184.500,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 3,2024-08-05 20:01:32,2026-04-22 21:00:00,2026-04-22 21:00:00
F-1129016       ,Cancelada,CAUSAF00000001387707,3.620.403,377.610,12.649,364.961,MERCADOPAGO,FOTOMULTA,Juzgado 3,2024-08-05 20:02:18,2026-02-01 21:00:00,2026-02-02 21:00:00
F-1129036       ,Cancelada,CAUSAF00000001387757,3.593.604,283.699,12.649,271.050,RAPIPAGO,FOTOMULTA,Juzgado 2,2024-08-05 20:02:35,2026-01-14 21:00:00,2026-01-21 21:00:00
F-1129042       ,Cancelada,CAUSAF00000001387763,3.675.611,193.110,8610,184.500,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 3,2024-08-05 20:02:37,2026-03-26 21:00:00,2026-03-26 21:00:00
F-1129100       ,Cancelada,CAUSAF00000001387969,3.770.805,193.110,8610,184.500,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 4,2024-08-05 20:03:50,2026-05-12 21:00:00,2026-05-12 21:00:00
F-1129157       ,Cancelada,CAUSAF00000001388138,3.632.245,193.110,8610,184.500,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 1,2024-08-05 20:04:58,2026-02-19 21:00:00,2026-02-19 21:00:00
F-1129174       ,Cancelada,CAUSAF00000001388187,3.594.592,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 5,2024-08-05 20:05:23,2026-01-15 21:00:00,2026-01-15 21:00:00
F-1129188       ,Cancelada,CAUSAF00000001388225,3.593.497,193.110,12.649,180.461,MERCADOPAGO,FOTOMULTA,Juzgado 1,2024-08-05 20:05:37,2026-01-13 21:00:00,2026-01-14 21:00:00
F-1129238       ,Cancelada,CAUSAF00000001388360,3.773.094,347.755,15.505,332.250,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-08-06 20:01:17,2026-05-13 21:00:00,2026-05-13 21:00:00
F-1129373       ,Cancelada,CAUSAF00000001388966,3.660.794,193.110,13.272,179.838,MERCADOPAGO,FOTOMULTA,Juzgado 1,2024-08-06 20:05:36,2026-03-15 21:00:00,2026-03-16 21:00:00
F-1129457       ,Cancelada,CAUSAF00000001389361,3.729.000,193.110,8610,184.500,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 3,2024-08-07 20:01:20,2026-03-30 21:00:00,2026-03-30 21:00:00
F-1129579       ,Cancelada,CAUSAF00000001390014,3.768.022,297.672,13.272,284.400,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 1,2024-08-07 20:08:25,2026-05-07 21:00:00,2026-05-07 21:00:00
F-1129589       ,Cancelada,CAUSAF00000001390069,3.623.424,283.699,12.649,271.050,CAJA DE TESORERÍA,FOTOMULTA,Juzgado 2,2024-08-07 20:09:08,2026-02-19 21:00:00,2026-02-19 21:00:00
